admin_code,occupation_category,occupation_code,occupation_level,parent_occupation_code,wage_value,currency,wage_period,wage_measure,year,classification_system,data_availability,source,last_updated,country_iso
KR-NAT,Administration and Accounting Related Occupations,31,medium,3,4880,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Financial Clerical Occupations,32,medium,3,6453,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Legal and Inspection Occupations,33,medium,3,5424,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Customer Service, Information Desk, Statistical Survey and Other Clerical Occupations",39,medium,3,3028,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Police, Fire Fighting and Security Related Service Occupations",41,medium,4,3713,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Caregiving, Health and Personal Service Workers",42,medium,4,1683,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Transport and Leisure Services Occupations,43,medium,4,4258,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Cooking and Food Service Occupations,44,medium,4,2499,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Sales Occupations,51,medium,5,4946,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Store Sales and Rental Sales Occupations,52,medium,5,2852,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Mobile, Door to Door and Street Sales Related Occupations",53,medium,5,2532,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Agricultural, Livestock Related Skilled Occupations",61,medium,6,3107,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Skilled Forestry Occupations,62,medium,6,2092,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Skilled Fishery Occupations,63,medium,6,2554,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Food Processing Related Trades Occupations,71,medium,7,2907,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Textile, Clothing and Leather Related Trade occupations",72,medium,7,2689,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Wood and Furniture, Musical Instrument and Signboard Related Trade Occupations",73,medium,7,3024,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Metal Coremakers Related Trade Occupations,74,medium,7,4180,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Transport and Machine Related Trade Occupations,75,medium,7,4789,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Electric and Electronic Related Trade Occupations,76,medium,7,4084,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Information and Communications Technology Related Occupations,77,medium,7,3751,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Construction and Mining Related Trade Occupations,78,medium,7,3433,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Other Technical Occupations,79,medium,7,3453,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Food Processing Related Machine Operating Occupations,81,medium,8,3767,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Textile and Shoe Related Machine Operating Occupations,82,medium,8,3175,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Chemical Related Machine Operating Occupations,83,medium,8,4690,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Metal and Nonmetal Related Machine Operating Occupations,84,medium,8,4833,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Machine Production and Related Machine Operating Occupation,85,medium,8,4385,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Electrical and Electronic Related Machine Operating Occupations,86,medium,8,4462,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Driving and Transport Related Occupations,87,medium,8,3436,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Water Treatment and Recycling Related Operating Occupation,88,medium,8,4406,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Wood, Printing and Other Machine Operating Occupations",89,medium,8,3589,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Construction and Mining Related Elementary Occupations,91,medium,9,2927,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Transport Related Elementary Occupations,92,medium,9,3152,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Production Related Elementary Occupations,93,medium,9,2863,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Cleaning and Guard Related Elementary Occupations,94,medium,9,2277,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Household Helpers, Cooking Attendants and Sales Related Elementary Workers",95,medium,9,2410,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Agriculture, Forestry, Fishery and Other Service Elementary Occupations",99,medium,9,2508,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MEDIUM,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Biological and Natural Science Related Professionals,211,minor,21,5115,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Liberal Arts and Social Science Professionals,212,minor,21,4804,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Biological and Natural Science Related Technicians,213,minor,21,4061,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Computer Hardware and Telecommunication Engineering Professionals,221,minor,22,5802,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Computer System and Application Software Developers,222,minor,22,5704,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Data and Network Specialists,223,minor,22,6252,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Information System Developers and Web Masters,224,minor,22,5347,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Telecommunication and Broadcast Transmissions Equipment Technicians,225,minor,22,5244,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Architectural Practicians, Construction Engineers and Technicians",231,minor,23,4633,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Chemical Engineers and Technicians,232,minor,23,5694,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Metal and Material Engineers and Technicians,233,minor,23,6087,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Electrical, Electronic Engineers and Technicians",234,minor,23,7037,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Mechanical and Robot Engineers and Technicians,235,minor,23,6870,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Fire and Emergency Management Engineers and Safety Professionals,236,minor,23,4622,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Environment, Gas and Energy Engineers and Technicians",237,minor,23,4818,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Aircraft Pilots, Ship Engineers, Controllers",238,minor,23,8561,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Other Engineering Professionals and Related Workers,239,minor,23,3871,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Medical Diagnosis and treatment Professionals,241,minor,24,15249,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Pharmacists and Oriental Pharmacists,242,minor,24,5219,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Nurses,243,minor,24,4327,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Dietitians,244,minor,24,2958,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Therapists, Pathologists and Medical Technologists",245,minor,24,3548,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Health and Medical Service Related Workers,246,minor,24,2732,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Social Welfare Service Related Workers,247,minor,24,2388,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Religious Activities Related Workers,248,minor,24,2663,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,College Professors and Instructors,251,minor,25,4217,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,School Teachers,252,minor,25,5300,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Kindergarten Teachers,253,minor,25,2486,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Liberal Arts, Technical and Arts Instructors",254,minor,25,2745,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Other Educational Professionals,259,minor,25,3334,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Legal Professionals,261,minor,26,9351,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,HR & Business Administrations Professionals,271,minor,27,8851,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Finance and Insurance Professionals,272,minor,27,9317,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Product Planning, Public Relations and Survey Professionals",273,minor,27,4959,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Appraisers, Technical Sales Representatives, Brokers and Related Workers",274,minor,27,5745,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Writers, Journalists, and Related Professionals",281,minor,28,4247,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Curators, Librarians and Archivists",282,minor,28,3688,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,"Drama, Film and Moving Image Professionals",283,minor,28,4306,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Visual and Performing Artists,284,minor,28,2948,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MINOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
